Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599793360,192.168.86.90,56500,54.149.94.178,443,6,208,3838,4,4
1599793361,192.168.86.90,56498,54.149.94.178,443,6,52,637,1,1
1599793361,192.168.86.90,56494,162.222.42.179,4287,6,94747,2080,72,40
1599793362,192.168.86.90,56498,54.149.94.178,443,6,104,1428,2,2
1599793362,192.168.86.90,56494,162.222.42.179,4287,6,18847,780,15,15
1599793362,192.168.86.84,5353,224.0.0.251,5353,17,148,0,1,0
1599793363,192.168.86.91,5353,224.0.0.251,5353,17,297,0,1,0
1599793363,192.168.86.90,56498,54.149.94.178,443,6,104,881,2,2
1599793363,192.168.86.90,56494,162.222.42.179,4287,6,12378,520,10,10
1599793364,192.168.86.90,56498,54.149.94.178,443,6,368,3275,6,5
1599793364,192.168.86.90,56494,162.222.42.179,4287,6,18975,780,15,15
1599793364,192.168.86.1,53,192.168.86.90,56255,17,98,64,1,1
1599793364,192.168.86.1,53,192.168.86.90,53920,17,64,64,1,1
1599793364,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793365,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599793365,192.168.86.90,56494,162.222.42.179,4287,6,30746,988,22,19
1599793365,192.168.86.90,56498,54.149.94.178,443,6,104,1108,2,2
1599793366,192.168.86.90,56498,54.149.94.178,443,6,260,5035,5,5
1599793366,192.168.86.90,56494,162.222.42.179,4287,6,28804,988,21,19
1599793366,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793366,192.168.86.90,56499,54.149.94.178,443,6,160,108,2,1
1599793367,192.168.86.90,56494,162.222.42.179,4287,6,139858,6892,113,109
1599793367,192.168.86.90,56500,54.149.94.178,443,6,160,108,2,1
1599793368,192.168.86.90,56498,54.149.94.178,443,6,104,1284,2,2
1599793369,192.168.86.90,56494,162.222.42.179,4287,6,552,104,2,2
1599793369,192.168.86.90,56498,54.149.94.178,443,6,52,626,1,1
1599793370,192.168.86.90,56494,162.222.42.179,4287,6,144034,3016,104,58
1599793370,192.168.86.90,56498,54.149.94.178,443,6,52,770,1,1
1599793370,192.168.86.90,56504,45.57.100.137,443,6,4242,241962,63,162
1599793370,192.168.86.90,56505,45.57.100.137,443,6,3604,159436,32,107
1599793370,192.168.86.90,56506,45.57.100.137,443,6,3516,159462,49,107
1599793370,192.168.86.90,56497,67.222.252.12,443,6,433,0,1,0
1599793371,192.168.86.90,56506,45.57.100.137,443,6,12376,540186,238,361
1599793371,192.168.86.90,56504,45.57.100.137,443,6,11248,412293,179,277
1599793371,192.168.86.90,56505,45.57.100.137,443,6,11076,490383,213,328
1599793371,192.168.86.90,56497,67.222.252.12,443,6,52,520,1,1
1599793371,192.168.86.90,56498,54.149.94.178,443,6,214,1451,3,3
1599793371,192.168.86.90,56494,162.222.42.179,4287,6,4241,246,4,4
1599793371,192.168.86.90,56500,54.149.94.178,443,6,110,52,1,1
1599793371,192.168.86.90,56499,54.149.94.178,443,6,110,52,1,1
1599793372,192.168.86.90,56494,162.222.42.179,4287,6,7045,260,5,5
1599793372,192.168.86.90,56493,52.33.134.215,443,6,13884,5234,13,8
1599793373,192.168.86.90,56494,162.222.42.179,4287,6,1381,52,1,1
1599793373,192.168.86.90,56498,54.149.94.178,443,6,52,631,1,1
1599793374,192.168.86.90,56494,162.222.42.179,4287,6,8853,364,7,7
1599793374,192.168.86.90,56498,54.149.94.178,443,6,212,979,3,4
1599793375,192.168.86.90,56494,162.222.42.179,4287,6,6485,260,5,5
1599793375,192.168.86.90,56498,54.149.94.178,443,6,104,1250,2,2
1599793376,192.168.86.90,56494,162.222.42.179,4287,6,1112457,31664,768,593
1599793376,192.168.86.90,56499,54.149.94.178,443,6,160,160,2,2
1599793376,192.168.86.90,56500,54.149.94.178,443,6,160,160,2,2
1599793377,192.168.86.90,56498,54.149.94.178,443,6,104,1284,2,2
1599793377,192.168.86.90,56509,142.250.68.10,443,6,40,52,1,1
1599793378,192.168.86.90,56503,45.57.100.137,443,6,40,52,1,1
1599793379,192.168.86.90,56499,54.149.94.178,443,6,52,1126,1,1
1599793379,192.168.86.90,56494,162.222.42.179,4287,6,78642,2808,54,54
1599793379,192.168.86.90,56498,54.149.94.178,443,6,260,4585,5,5
1599793380,192.168.86.90,56494,162.222.42.179,4287,6,27226,988,19,19
1599793380,192.168.86.90,56500,54.149.94.178,443,6,208,3836,4,4
1599793380,192.168.86.90,56498,54.149.94.178,443,6,52,773,1,1
1599793382,192.168.86.90,56498,54.149.94.178,443,6,52,765,1,1
1599793383,192.168.86.90,56494,162.222.42.179,4287,6,26230,936,18,18
1599793383,192.168.86.90,56498,54.149.94.178,443,6,52,750,1,1
1599793384,192.168.86.90,56494,162.222.42.179,4287,6,101600,2288,70,44
1599793384,192.168.86.90,56498,54.149.94.178,443,6,212,737,3,2
1599793385,192.168.86.90,56498,54.149.94.178,443,6,104,1259,2,2
1599793386,192.168.86.90,56494,162.222.42.179,4287,6,26214,884,18,17
1599793386,192.168.86.90,56498,54.149.94.178,443,6,52,639,1,1
1599793386,192.168.86.90,56499,54.149.94.178,443,6,160,108,2,1
1599793386,192.168.86.90,56506,45.57.100.137,443,6,3880,120462,56,81
1599793386,192.168.86.90,56505,45.57.100.137,443,6,3728,120462,53,81
1599793386,192.168.86.90,56504,45.57.100.137,443,6,2532,60462,30,41
1599793386,192.168.86.90,56493,52.33.134.215,443,6,12238,0,9,0
1599793387,192.168.86.90,56505,45.57.100.137,443,6,3224,296339,62,198
1599793387,192.168.86.90,56504,45.57.100.137,443,6,1404,58798,27,40
1599793387,192.168.86.90,56506,45.57.100.137,443,6,3468,424449,48,285
1599793387,192.168.86.90,56493,52.33.134.215,443,6,156,5249,3,8
1599793387,192.168.86.90,56494,162.222.42.179,4287,6,25894,884,18,17
1599793387,192.168.86.90,56498,54.149.94.178,443,6,52,754,1,1
1599793387,192.168.86.90,56500,54.149.94.178,443,6,160,108,2,1
1599793388,192.168.86.90,56498,54.149.94.178,443,6,52,751,1,1
1599793388,192.168.86.90,56513,216.58.195.67,443,6,40,52,1,1
1599793388,192.168.86.84,5353,224.0.0.251,5353,17,99,0,1,0
1599793388,192.168.86.91,5353,224.0.0.251,5353,17,213,0,1,0
1599793389,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793389,192.168.86.90,56494,162.222.42.179,4287,6,700165,13104,506,252
1599793389,192.168.86.90,56498,54.149.94.178,443,6,52,762,1,1
1599793390,192.168.86.90,56498,54.149.94.178,443,6,52,754,1,1
1599793391,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793391,192.168.86.90,56498,54.149.94.178,443,6,162,678,2,2
1599793391,192.168.86.90,56500,54.149.94.178,443,6,110,52,1,1
1599793391,192.168.86.90,56499,54.149.94.178,443,6,110,52,1,1
1599793392,192.168.86.90,56494,162.222.42.179,4287,6,3661,156,3,3
1599793392,192.168.86.90,56503,45.57.100.137,443,6,104,128,2,2
1599793393,192.168.86.255,138,192.168.86.91,138,17,0,478,0,2
1599793394,192.168.86.90,56494,162.222.42.179,4287,6,6277,260,5,5
1599793394,192.168.86.90,56498,54.149.94.178,443,6,368,3017,6,6
1599793394,192.168.86.1,53,192.168.86.90,60236,17,98,64,1,1
1599793394,192.168.86.1,35156,239.255.255.250,1900,17,5127,0,11,0
1599793395,192.168.86.1,35156,239.255.255.250,1900,17,5127,0,11,0
1599793395,192.168.86.1,3517,224.0.1.178,3517,17,44,0,1,0
1599793395,0.0.0.0,68,255.255.255.255,67,17,956,0,3,0
1599793395,192.168.86.90,56498,54.149.94.178,443,6,52,627,1,1
1599793396,192.168.86.90,56494,162.222.42.179,4287,6,6229,260,5,5
1599793396,192.168.86.90,56498,54.149.94.178,443,6,52,742,1,1
1599793396,192.168.86.90,56499,54.149.94.178,443,6,160,160,2,2
1599793397,192.168.86.90,56495,162.222.43.109,4287,6,52,90,1,1
1599793397,192.168.86.90,56498,54.149.94.178,443,6,52,752,1,1
1599793397,192.168.86.90,56500,54.149.94.178,443,6,160,160,2,2
1599793398,192.168.86.90,56494,162.222.42.179,4287,6,6277,260,5,5
1599793398,192.168.86.90,56498,54.149.94.178,443,6,104,1364,2,2
1599793398,192.168.86.90,56497,67.222.252.12,443,6,52,90,1,1
1599793400,192.168.86.90,56498,54.149.94.178,443,6,52,744,1,1
