Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599791279,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791280,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791282,192.168.86.90,59651,8.37.96.91,443,17,398,292,3,2
1599791283,192.168.86.90,59651,8.37.96.91,443,17,1357,620,6,4
1599791284,192.168.86.90,59651,8.37.96.91,443,17,1899,1479,6,7
1599791285,192.168.86.90,59651,8.37.96.91,443,17,528,520,4,3
1599791286,192.168.86.90,59651,8.37.96.91,443,17,118,210,1,1
1599791289,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791291,192.168.86.90,59651,8.37.96.91,443,17,35566,1435345,221,1021
1599791292,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791293,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791293,192.168.86.1,35156,239.255.255.250,1900,17,8907,0,19,0
1599791293,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791294,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791294,192.168.86.1,35156,239.255.255.250,1900,17,1347,0,3,0
1599791295,192.168.86.90,59651,8.37.96.91,443,17,516,504,4,3
1599791296,192.168.86.90,59651,8.37.96.91,443,17,0,118,0,1
1599791297,192.168.86.90,59651,8.37.96.91,443,17,224,274,2,2
1599791298,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791298,192.168.86.90,59651,8.37.96.91,443,17,118,172,1,1
1599791299,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791301,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791302,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791303,192.168.86.90,59651,8.37.96.91,443,17,386,236,3,2
1599791304,192.168.86.90,59651,8.37.96.91,443,17,224,292,2,2
1599791305,192.168.86.90,59651,8.37.96.91,443,17,516,410,4,3
1599791306,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
